division,state,party
Division 1,New York,Democratic
Division 2,Florida,Democratic
Division 3,California,Greens
Division 4,North Carolina,Republican
Division 5,New York,Republican
Division 6,Texas,Democratic
Division 7,California,Democratic
Division 8,Texas,Republican
Division 9,Georgia,Democratic
Division 10,California,Constitution
Division 11,Ohio,Democratic
Division 12,New York,Republican
Division 13,Pennsylvania,Greens
Division 14,Pennsylvania,Greens
Division 15,Illinois,Republican
Division 16,Texas,Republican
Division 17,Florida,Democratic
Division 18,Illinois,Republican
Division 19,California,Republican
Division 20,Florida,Republican
Division 21,California,Republican
Division 22,New York,Democratic
Division 23,Pennsylvania,Natural Law
Division 24,Texas,Democratic
Division 25,Texas,Constitution
Division 26,Ohio,Constitution
Division 27,Florida,Democratic
Division 28,Pennsylvania,Democratic
Division 29,North Carolina,Republican
Division 30,New York,Democratic
Division 31,Illinois,Republican
Division 32,New York,Democratic
Division 33,Illinois,Democratic
Division 34,California,Constitution
Division 35,California,Republican
Division 36,California,Democratic
Division 37,Ohio,Greens
Division 38,California,Greens
Division 39,New York,Constitution
Division 40,New York,Democratic
Division 41,Texas,Republican
Division 42,California,Democratic
Division 43,Pennsylvania,Democratic
Division 44,California,Constitution
Division 45,California,Republican
Division 46,North Carolina,Democratic
Division 47,Georgia,Democratic
Division 48,Georgia,Republican
Division 49,Georgia,Democratic
Division 50,Texas,Constitution
Division 51,New York,Democratic
Division 52,California,Republican
Division 53,Texas,Republican
Division 54,Texas,Republican
Division 55,Florida,Democratic
Division 56,Texas,Democratic
Division 57,Texas,Democratic
Division 58,Georgia,Greens
Division 59,California,Constitution
Division 60,Texas,Greens
Division 61,Ohio,Republican
Division 62,California,Republican
Division 63,Ohio,Constitution
Division 64,Texas,Republican
Division 65,Georgia,Democratic
Division 66,Texas,Democratic
Division 67,Texas,Democratic
Division 68,California,Republican
Division 69,Georgia,Democratic
Division 70,Pennsylvania,Greens
Division 71,Texas,Democratic
Division 72,Ohio,Republican
Division 73,Georgia,Libertarians
Division 74,Florida,Republican
Division 75,California,Democratic
Division 76,Georgia,Democratic
Division 77,California,Democratic
Division 78,New York,Republican
Division 79,Pennsylvania,Constitution
Division 80,Florida,Democratic
Division 81,California,Democratic
Division 82,Florida,Democratic
Division 83,California,Greens
Division 84,Florida,Republican
Division 85,California,Republican
Division 86,Florida,Republican
Division 87,California,Democratic
Division 88,California,Republican
Division 89,Ohio,Republican
Division 90,Georgia,Republican
Division 91,Ohio,Republican
Division 92,Texas,Democratic
Division 93,California,Greens
Division 94,Georgia,Democratic
Division 95,California,Greens
Division 96,Illinois,Republican
Division 97,California,Republican
Division 98,California,Democratic
Division 99,Georgia,Constitution
Division 100,Georgia,Constitution
Division 101,Georgia,Democratic
Division 102,Pennsylvania,Republican
Division 103,Texas,Democratic
Division 104,Texas,Constitution
Division 105,North Carolina,Republican
Division 106,Illinois,Natural Law
Division 107,Florida,Republican
Division 108,Florida,Natural Law
Division 109,Pennsylvania,Democratic
Division 110,New York,Democratic
Division 111,New York,Democratic
Division 112,Georgia,Democratic
Division 113,California,Democratic
Division 114,Florida,Constitution
Division 115,New York,Democratic
Division 116,California,Constitution
Division 117,Texas,Democratic
Division 118,Ohio,Republican
Division 119,Ohio,Natural Law
Division 120,Georgia,Democratic
Division 121,California,Democratic
Division 122,Texas,Libertarians
Division 123,Pennsylvania,Democratic
Division 124,California,Natural Law
Division 125,Florida,Constitution
Division 126,New York,Libertarians
Division 127,Texas,Republican
Division 128,New York,Democratic
Division 129,Georgia,Republican
Division 130,Pennsylvania,Democratic
Division 131,Florida,Democratic
Division 132,New York,Republican
Division 133,California,Republican
Division 134,Pennsylvania,Republican
Division 135,Pennsylvania,Libertarians
Division 136,California,Greens
Division 137,California,Republican
Division 138,Florida,Democratic
Division 139,Florida,Constitution
Division 140,California,Greens
Division 141,Illinois,Democratic
Division 142,Ohio,Democratic
Division 143,California,Libertarians
Division 144,Texas,Republican
Division 145,Texas,Democratic
Division 146,Texas,Democratic
Division 147,New York,Democratic
Division 148,Pennsylvania,Republican
Division 149,Texas,Democratic
Division 150,Texas,Republican
Division 151,New York,Democratic
